Fruit Type,Quantity,Imperial (oz or lb.),Metric (grams) 
Artichoke,1,13 oz,368 g
Asparagus,1,0.8 oz,22 g
Garlic,1 clove,0.18 oz,5 g
Green Beans,1,0.18 oz,5 g
Beets,1,4 oz,113 g 
Bell Pepper,1,6 oz,170 g 
Broccoli,1,8 oz,225 g 
Brussel Sprouts,1,0.5 oz,14 g
Cabbage,1 head,2 lb.,9.07 kg.
Carrots,1,2.1 oz,60 g
Cauliflower,1 head,1.1 lb.,500 g
Celery,1 stalk,1 lb.,450 g
Corn,1 cob,6.3 oz,180 g 
Cucumber,1,8.8 oz,250 g 
Kale,1 bunch,7 oz,198 g 
Lettuce,1 head,1.8 lb.,800 g 
Mushrooms (white),1,0.53 oz,15 g
Onion (yellow),1,5.6 oz,160 g
Parsnip,1,4 oz,115 g
Pea,1,0.01 oz,0.2 g 
Potato,1,6.5 oz,184 g
Snow Pea,1,0.1 oz,2.5 g 
Spinach,1 cup,1 oz,30 g
Squash (yellow),1,7 oz,200 g
Squash (butternut),1,2.5 lb.,1.1 kg
Sweet Potato,1,4 oz,113 g 
Tomato,1,6 oz,170 g 
Zucchini,1,7 oz,200 g
